FILE NAME,力老陋篮漠哗绰家府.wav
N,compressed rate,MSE,MAE
111,2.753448275862069,0.08657764433008687,0.25859901133629604
112,2.760344827586207,0.09179645803374603,0.26842695496906926
113,2.760344827586207,0.09179645803374603,0.26842695496906926
114,2.7431034482758623,0.08555737060146142,0.25495662335805774
115,2.7431034482758623,0.08555737060146142,0.25495662335805774
116,2.712068965517241,0.08097209159675338,0.24480535315138402
117,2.712068965517241,0.08097209159675338,0.24480535315138402
118,2.703448275862069,0.08409980720812078,0.25104413427021705
119,2.703448275862069,0.08409980720812078,0.25104413427021705
120,2.6482758620689655,0.09325395936922966,0.2698338513377476
121,2.6482758620689655,0.09325395936922966,0.2698338513377476
122,2.6551724137931036,0.08908736524054318,0.25815031397652266
123,2.6551724137931036,0.08908736524054318,0.25815031397652266
124,2.6293103448275863,0.08112283791424219,0.24338153269507432
125,2.6293103448275863,0.08112283791424219,0.24338153269507432
126,2.627586206896552,0.09084236787149459,0.2666822252396126
127,2.627586206896552,0.09084236787149459,0.2666822252396126
128,2.617241379310345,0.08630845433326388,0.2539537636192595
129,2.617241379310345,0.08630845433326388,0.2539537636192595
130,2.5724137931034483,0.08584047048538028,0.25440090441240437
131,2.5724137931034483,0.08584047048538028,0.25440090441240437
132,2.5620689655172413,0.08155848680600498,0.24413030641200967
133,2.5620689655172413,0.08155848680600498,0.24413030641200967
134,2.546551724137931,0.08499756378794188,0.25615109252663926
135,2.546551724137931,0.08499756378794188,0.25615109252663926
136,2.5517241379310347,0.07556414136602783,0.24030885786311904
137,2.5517241379310347,0.07556414136602783,0.24030885786311904
138,2.5310344827586206,0.09373369872669667,0.26852196074063145
139,2.5310344827586206,0.09373369872669667,0.26852196074063145
140,2.5155172413793103,0.08916927829625136,0.2608828146373892
141,2.5155172413793103,0.08916927829625136,0.2608828146373892
142,2.5,0.07945851420221946,0.24066320721849546
143,2.5,0.07945851420221946,0.24066320721849546
144,2.4775862068965515,0.08705090312923967,0.2600830330792885
145,2.4775862068965515,0.08705090312923967,0.2600830330792885
